file_name,summary_num_statements,summary_missing_lines,summary_excluded_lines,summary_percent_covered,budget_seconds,seed,strategy,timestamp
scripts\examples\str_with\endwith_2param.py,6,1,0,83.33333333333333,10,45,tree_traverse,2025-07-14T19:26:18.926052
scripts\examples\str_with\start_endwith_multi.py,5,0,0,100.0,10,45,tree_traverse,2025-07-14T19:26:18.926052
scripts\examples\str_with\start_endwith_multi2.py,5,0,0,100.0,10,45,tree_traverse,2025-07-14T19:26:18.926052
scripts\examples\str_with\start_endwith_nested.py,7,1,0,85.71428571428571,10,45,tree_traverse,2025-07-14T19:26:18.926052
scripts\examples\str_with\startswith.py,4,0,0,100.0,10,45,tree_traverse,2025-07-14T19:26:18.926052
scripts\examples\str_with\endswith.py,4,0,0,100.0,10,46,tree_traverse,2025-07-14T19:26:44.679194
scripts\examples\str_with\endwith_2param.py,6,1,0,83.33333333333333,10,46,tree_traverse,2025-07-14T19:26:44.679194
scripts\examples\str_with\start_endwith_multi.py,5,0,0,100.0,10,46,tree_traverse,2025-07-14T19:26:44.679194
scripts\examples\str_with\start_endwith_multi2.py,5,0,0,100.0,10,46,tree_traverse,2025-07-14T19:26:44.679194
scripts\examples\str_with\start_endwith_nested.py,7,1,0,85.71428571428571,10,46,tree_traverse,2025-07-14T19:26:44.679194
scripts\examples\str_with\startswith.py,4,0,0,100.0,10,46,tree_traverse,2025-07-14T19:26:44.679194
